year,zone,demand_twh
2018,DE-LU,130.9564147975
2019,DE-LU,502.52288647
2020,DE-LU,490.2989407375
2021,DE-LU,509.74173249
2022,DE-LU,487.289284995
2023,DE-LU,463.08042207249997
2024,DE-LU,470.405534957993
2025,DE-LU,470.65953275915
2026,DE-LU,166.91987028801552
