year,zone,psr_type,generation_twh
2024,DE-LU,Other renewable,0.8460741475
2025,DE-LU,Other renewable,0.728767076046
2026,DE-LU,Other renewable,0.22269789048
2018,DE-LU,Solar,4.42822237
2019,DE-LU,Solar,41.8330862725
2020,DE-LU,Solar,45.9374385975
2021,DE-LU,Solar,46.4220795275
2022,DE-LU,Solar,55.9875054975
2023,DE-LU,Solar,55.798733587499996
2024,DE-LU,Solar,63.444054775
2025,DE-LU,Solar,74.21206638059184
2026,DE-LU,Solar,21.745762396517
2018,DE-LU,Waste,1.7227657125
2019,DE-LU,Waste,6.0393082325
2020,DE-LU,Waste,6.0370951025
2021,DE-LU,Waste,7.085177685
2022,DE-LU,Waste,6.514255009999999
2023,DE-LU,Waste,6.727157835
2024,DE-LU,Waste,6.573511045
2025,DE-LU,Waste,5.712357104333083
2026,DE-LU,Waste,2.191426550979
2018,DE-LU,Wind Offshore,6.397262755
2019,DE-LU,Wind Offshore,24.3810142275
2020,DE-LU,Wind Offshore,26.8829453325
2021,DE-LU,Wind Offshore,24.0158593725
2022,DE-LU,Wind Offshore,24.746714365
2023,DE-LU,Wind Offshore,23.522493927499998
2024,DE-LU,Wind Offshore,25.6642478325
2025,DE-LU,Wind Offshore,26.195201717750003
2026,DE-LU,Wind Offshore,11.61160438025
2018,DE-LU,Wind Onshore,28.856647525
2019,DE-LU,Wind Onshore,99.9958598875
2020,DE-LU,Wind Onshore,103.41863523
2021,DE-LU,Wind Onshore,89.8948158625
2022,DE-LU,Wind Onshore,101.29648826
2023,DE-LU,Wind Onshore,119.495841025
2024,DE-LU,Wind Onshore,113.0297923
2025,DE-LU,Wind Onshore,107.23366707549266
2026,DE-LU,Wind Onshore,41.239841255958254
