month,GPR,GPRT,GPRA
2018-01-01,92.42678833007812,107.64431762695312,75.66629028320312
2018-02-01,64.49137115478516,74.68311309814453,52.002201080322266
2018-03-01,111.96229553222656,146.9270782470703,64.55758666992188
2018-04-01,123.26347351074219,146.39566040039062,94.30585479736328
2018-05-01,125.66661834716797,172.21670532226562,63.21790313720703
2018-06-01,103.96858978271484,137.0244598388672,56.64043426513672
2018-07-01,110.02842712402344,129.1023406982422,84.4084701538086
2018-08-01,112.74168395996094,145.11407470703125,68.57559204101562
2018-09-01,75.05390930175781,88.62364196777344,51.163917541503906
2018-10-01,92.0164794921875,115.21215057373047,61.150474548339844
2018-11-01,80.40758514404297,105.16685485839844,47.40216827392578
2018-12-01,90.607666015625,106.06269836425781,66.24092864990234
2019-01-01,87.42410278320312,112.98045349121094,55.7335090637207
2019-02-01,96.80016326904297,127.857421875,57.51169967651367
2019-03-01,82.32829284667969,90.78959655761719,66.64120483398438
2019-04-01,79.25344848632812,95.45539855957031,57.51552963256836
2019-05-01,106.4719009399414,134.97251892089844,64.66343688964844
2019-06-01,106.58845520019531,142.6534881591797,53.42063903808594
2019-07-01,93.52125549316406,126.93077850341797,47.41885757446289
2019-08-01,103.4044189453125,124.72541809082031,70.09744262695312
2019-09-01,90.36798858642578,110.8709487915039,67.81023406982422
2019-10-01,97.83673095703125,121.31104278564453,69.96658325195312
2019-11-01,73.07838439941406,84.5873031616211,53.03253173828125
2019-12-01,74.27989196777344,80.11077117919922,63.33135223388672
2020-01-01,138.4209442138672,190.8443603515625,81.65093994140625
2020-02-01,75.95555877685547,87.1624526977539,56.68605041503906
2020-03-01,81.54003143310547,97.09007263183594,62.90298843383789
2020-04-01,69.33940124511719,81.76082611083984,47.59123229980469
2020-05-01,68.50721740722656,83.35546112060547,42.29555892944336
2020-06-01,71.22785949707031,85.86660766601562,49.760887145996094
2020-07-01,66.47328186035156,88.73797607421875,36.25208282470703
2020-08-01,65.46604919433594,90.00911712646484,28.454627990722656
2020-09-01,80.37738037109375,101.25764465332031,49.51808166503906
2020-10-01,76.08316802978516,97.65258026123047,42.68144226074219
2020-11-01,70.06746673583984,79.03644561767578,62.31394577026367
2020-12-01,64.06729125976562,86.81527709960938,31.744428634643555
2021-01-01,77.418701171875,98.47562408447266,48.2874870300293
2021-02-01,73.95680236816406,94.48355865478516,46.326778411865234
2021-03-01,78.61876678466797,100.85202026367188,49.41804122924805
2021-04-01,88.16622161865234,109.58695983886719,67.87379455566406
2021-05-01,93.00713348388672,120.7828369140625,52.62611389160156
2021-06-01,74.12712097167969,92.54654693603516,46.34864044189453
2021-07-01,58.42076873779297,64.03631591796875,50.7158317565918
2021-08-01,89.4865493774414,103.20159149169922,76.48285675048828
2021-09-01,80.69696807861328,92.04731750488281,67.94027709960938
2021-10-01,79.02923583984375,93.80802917480469,61.149112701416016
2021-11-01,86.56914520263672,121.5009536743164,39.74269104003906
2021-12-01,105.34542083740234,155.3102569580078,47.65493392944336
2022-01-01,138.67498779296875,199.48751831054688,63.251529693603516
2022-02-01,216.1590118408203,320.6058654785156,105.21830749511719
2022-03-01,318.9549255371094,403.713623046875,250.9558563232422
2022-04-01,191.14309692382812,221.91055297851562,184.41781616210938
2022-05-01,142.25848388671875,166.424560546875,140.13734436035156
2022-06-01,130.7073211669922,160.72695922851562,114.81468963623047
2022-07-01,117.17676544189453,141.24293518066406,97.83872985839844
2022-08-01,132.86322021484375,159.38302612304688,111.15857696533203
2022-09-01,131.98587036132812,170.31179809570312,108.6280746459961
2022-10-01,143.16241455078125,185.2843017578125,112.6750259399414
2022-11-01,116.7162857055664,143.0465545654297,98.68260955810547
2022-12-01,111.19593811035156,119.1385269165039,109.772216796875
2023-01-01,104.26704406738281,113.02135467529297,94.62993621826172
2023-02-01,120.99437713623047,147.05015563964844,103.02875518798828
2023-03-01,105.37997436523438,125.08584594726562,86.75404357910156
2023-04-01,106.80965423583984,118.16682434082031,93.2484130859375
2023-05-01,108.46768188476562,122.47150421142578,92.75943756103516
2023-06-01,110.52894592285156,129.40652465820312,95.2789077758789
2023-07-01,107.44878387451172,123.80915069580078,91.76800537109375
2023-08-01,101.14118194580078,117.60943603515625,83.60504913330078
2023-09-01,98.63481140136719,125.65179443359375,68.4659194946289
2023-10-01,197.8870086669922,205.04005432128906,221.80393981933594
2023-11-01,156.69613647460938,143.49435424804688,189.5543975830078
2023-12-01,142.2794647216797,136.1783905029297,173.96380615234375
2024-01-01,160.3736572265625,140.83609008789062,208.4711456298828
2024-02-01,146.59817504882812,140.2446746826172,171.18118286132812
